Candidate ID,Name,Job Description,Experience,Skills,Education,Score
39,Candidate 39,lead generator experienced in cold outreach and crm tools,Software Engineer at BRQ IT Solutions (Jan 2017 to Dec 2017)  | Senior Software Engineer at IBM (Jan 2017 to Dec 2020)  | Developer at Brave (Jan 2015 to Dec 2017)  | Staff Software Engineer at PicPay (N/A to N/A)  | Senior Software Engineer at Uber (N/A to N/A),iOS|Objective-C|Swift (Programming Language)|SQL,Bachelor of Computer Science Computer Science at Federal University of Pelotas (N/A to N/A)  | Master Computer Science at Mackenzie Presbyterian University (N/A to N/A),14.7
40,Candidate 40,lead generator experienced in cold outreach and crm tools,Cloud Engineer at McKinsey (Nov 2022 to N/A)  | Cloud Engineer at  (May 2020 to Oct 2022),Not Provided,Bachelor'S Law and Political Sciences at University of Dschang (N/A to N/A),5.1
41,Candidate 41,lead generator experienced in cold outreach and crm tools,Software Engineer at Pagerduty (Sep 2023 to May 2024)  | Software Engineer at Potloc (Jan 2023 to Jul 2023)  | Software Engineer at AgendaPro (Jul 2021 to Dec 2022)  | Software Engineer at Optimal Workshop (Mar 2020 to Jun 2021)  | Software Engineer at Globant (Jun 2019 to Mar 2020)  | Software Engineer at AgendaPro (Oct 2018 to May 2019)  | Software Engineer at Buda.com (Oct 2017 to Sep 2018)  | Software Engineer at Groupon (Dec 2014 to May 2017)  | Software Engineer at Groupon (Sep 2012 to Dec 2012)  | Software Developer at Sumavisos (May 2012 to Sep 2012)  | Software Developer at Aycron (Sep 2011 to May 2012)  | Software Developer at Maypun (Jun 2011 to Sep 2011)  | Software Developer at Onuva (Jan 2011 to Mar 2011)  | Software Developer at SAIME (May 2010 to Dec 2010)  | Software Developer at Infoguía (Feb 2010 to Apr 2010)  | Information Technology Consultant at Essplan (Sep 2008 to Feb 2010),Git|Ruby|PostgreSQL|Ruby on Rails|Amazon Web Services (AWS)|React.js,Not Provided,30.0
42,Candidate 42,lead generator experienced in cold outreach and crm tools,Aws Cloud Engineer at Verizon Wireless Systems (Aug 2020 to N/A)  | Aws Cloud Engineer at Hartford Financial Service Group (Mar 2018 to Jul 2020),Not Provided,Bachelor Computer Science at University of Buea (N/A to N/A),7.5
43,Candidate 43,lead generator experienced in cold outreach and crm tools,Full Stack Developer at BlackBaud (Apr 2020 to N/A)  | Senior Software Engineer at  (Jun 2017 to Mar 2020)  | Associate Software Engineer at Alteryx (Aug 2014 to May 2017)  | Junior Full Stack Developer at OneTrust (Jan 2012 to Jul 2014)  | Software Developer Intern at Epic (Jun 2010 to Dec 2011),Not Provided,Master'S Computer Science at Stetson University (Jan 2013 to Dec 2015)  | Bachelor of Computer Science  at University of Central Florida (Jan 2007 to Dec 2011),15.9
44,Candidate 44,lead generator experienced in cold outreach and crm tools,Not Provided,Microsoft Excel|English|Communication,Bachelor'S Management and Simulation at Business. El Bosque University (N/A to Dec 2020),0.6
45,Candidate 45,lead generator experienced in cold outreach and crm tools,Full Stack Developer at YELP (Jan 2015 to Jun 2018)  | Software Engineer at CARTA (Jan 2006 to Dec 2010),Not Provided,Bachelor'S Software Engineering at Cleveland State University (N/A to N/A),6.0
46,Candidate 46,lead generator experienced in cold outreach and crm tools,Lead Generator at Vesti Technology (Sep 2023 to N/A)  | Lead Generator at Hotbox Technology (Jan 2023 to Jan 2024)  | Sales Associate at Shtudy (Sep 2019 to Jan 2023)  | Marketing at Starrycare UK (Jan 2017 to Jun 2019),Not Provided,Bachelor of Arts English Language at Obafemi Awolowo University (Dec 2012 to Dec 2016),26.52
47,Candidate 47,lead generator experienced in cold outreach and crm tools,Quality Assurance Engineer at Moduscreate (Jan 2019 to N/A)  | Automation Engineer at Securelink (Jan 2016 to Jan 2019)  | Quality Assurance Software Engineer at Ex2 Outcoding (Jan 2015 to Dec 2015)  | Quality Assurance Tech Analyst at Accenture (Jan 2012 to Jan 2014)  | Information Technology Consultant at Lanshire (Jan 2011 to Jan 2012)  | Software Developer at Netsoft (Jan 2011 to Jun 2011)  | System Engineer at Office of International Technical Cooperation (Jan 2010 to Jan 2011),Software Development|Quality Assurance|REST APIs|Object-Oriented Programming (OOP)|QA Automation,Computer Engineering at Distance State University (Jan 2013 to Dec 2015)  | Bachelor Information Systems Engineering at National University of Costa Rica (Jan 2007 to Dec 2011),23.7
48,Candidate 48,lead generator experienced in cold outreach and crm tools,Associate System Engineer at IBM India (Jan 2015 to Dec 2019),Not Provided,"Bachelor Electronics, Communication and Engineering at University of Calicut (Jan 2010 to Dec 2014)  | Aisse  at CBSE India (N/A to Dec 2008)  |   at AISSCE (Class XII (N/A to Dec 2010)",3.3
49,Candidate 49,lead generator experienced in cold outreach and crm tools,Associate at Wiley Global Technology (Jun 2022 to N/A)  | Senior Quality Assurance Engineer at Intrepid Group (Sep 2020 to Jun 2022)  | Senior Quality Assurance Engineer at  (Mar 2013 to Apr 2020)  | Quality Assurance Engineer at Allion Technologies (Pvt) (Sep 2011 to Mar 2013)  | Associate Software Quality Assurance Engineer at Virtusa (Pvt) (Jul 2010 to Aug 2011),Quality Assurance|Agile Methodologies|Product Quality,Bachelor of Science Information Technology at University of Moratuwa (Jan 2005 to Dec 2009)  | Certificate Quality Assurance at ISTQB (N/A to N/A),18.0
50,Candidate 50,lead generator experienced in cold outreach and crm tools,General Operations Consultant at Inter-American Development Bank (Jul 2022 to Jul 2023)  | Quality Assurance at Routing (Sep 2021 to Jun 2022)  | Quality Assurance Automation Engineer at The Optimal Partner (N/A to N/A),Not Provided,Bachelor of Engineering Informatics at Universidad Mayor (N/A to N/A)  | Certificate Development at Laboratoria (N/A to N/A),10.2
51,Candidate 51,lead generator experienced in cold outreach and crm tools,Sales Development Representative at TRINITYLOGISTICS (Jan 2021 to N/A)  | Business Development Representative at ALLIED LOGISTICS PARTNERS (Jan 2018 to Dec 2021),Not Provided,Not Provided,6.6
52,Candidate 52,lead generator experienced in cold outreach and crm tools,Not Provided,Not Provided,Bachelor of Science Computer Science at University of Buea (N/A to N/A),0.6
53,Candidate 53,lead generator experienced in cold outreach and crm tools,Quality Assurance Engineer at Coder house (Jan 2020 to Dec 2021)  | Analista Qa Sr at CPA ASSURE (Jan 2019 to Dec 2019)  | Analista Qa at JR (Jan 2018 to Dec 2019)  | Product at Coder House (N/A to N/A),Quality Assurance|JavaScript|Microsoft Azure|QA Automation|React.js,Education Digital Business and Administration at Dropped - Argentinean Business School (Jan 2023 to Dec 2023),12.3
54,Candidate 54,lead generator experienced in cold outreach and crm tools,Quality Assurance Engineer at HCHK Technologies (Nov 2021 to N/A)  | Quality Assurance Analyst at Markit (Feb 2015 to Nov 2021)  | Software Test Engineer at CareFirst (Jun 2014 to Jan 2015)  | Software Test Engineer at JP Morgan Chase (Jan 2014 to May 2014),Not Provided,Bachelor of Science Computer Science at Mount Royal University (N/A to Nov 2013),13.5
55,Candidate 55,lead generator experienced in cold outreach and crm tools,Senior Software Engineer at março de (Jan 2024 to N/A)  | Software Engineer at Ateliê de Software (N/A to N/A)  | Ruby on Rails Developer at Poços de Caldas (N/A to N/A)  | Assistente Técnico Em Redes at Botelhos (N/A to N/A)  | Software Engineer at Delivery Center (N/A to N/A)  | Desenvolvedor Web Júnior at Poços de Caldas (N/A to N/A)  | Desenvolvedor Full Stack at Poços de Caldas Area (N/A to N/A)  | Software Engineer at Sofi (N/A to N/A)  | Customer Support Analyst at Poços de Caldas (N/A to N/A),Not Provided,Bacharelado  at Pontifical Catholic University of Minas Gerais (Jan 2015 to Dec 2019),27.9
56,Candidate 56,lead generator experienced in cold outreach and crm tools,Software Engineer at Red Hat (Mar 2021 to N/A)  | Software Engineer at HP (Jan 2020 to Mar 2021)  | Embedded Software Engineer at Luminator Technology Group (Dec 2018 to Dec 2019)  | Accounting Assistant at Escritório Confidenza (Apr 2013 to Nov 2018)  | Computer Maintenance at EBI Informática (Feb 2011 to Mar 2013),Not Provided,"Computer Science at Universidade do Vale do Rio dos Sinos (Jan 2020 to Jan 2023)  |  E-Business and Revolution at California State University, Northridge (Jan 2018 to Jan 2018)  |  Ciencia Da Computação, Ciência Da Computação at University of Caxias do Sul (Jan 2017 to Jan 2019)",16.2
57,Candidate 57,lead generator experienced in cold outreach and crm tools,Líder Técnico at Bio Ritmo Academia (Oct 2018 to N/A)  | Proprietário at Vixbiz (N/A to N/A)  | Professor at Escola Contec (N/A to N/A)  | Analista De Sistemas at Netsimples (N/A to N/A),Not Provided,Bacharel Sistemas De Informação at Universidade de Vila Velha - UVV (Jan 2005 to Dec 2008)  | Iftl  at São Paulo State Technological College (N/A to N/A),10.2
58,Candidate 58,lead generator experienced in cold outreach and crm tools,Quality Assurance Analyst Remote at Take2 It Consulting (Aug 2023 to N/A)  | Program Analyst Remote at CSSI (Jun 2023 to Jul 2023)  | Quality Assurance Analyst Remote at Take2 It Consulting (Oct 2021 to Jun 2023)  | Application Support Specialist Remote at Fannie Mae (Jul 2020 to Dec 2020),Not Provided,Bachelor'S Science and Computer Science at Virginia Commonwealth University (N/A to May 2019),15.0
59,Candidate 59,lead generator experienced in cold outreach and crm tools,Tutors at Diploma in Management of Sports Entities (Jan 2023 to Jan 2024)  | Operations Coordinator at Pereira (Nov 2021 to Apr 2024),Microsoft Excel|Communication|Oral Communication|Interpersonal Skills|Business-to-Business (B2B)|Sales Processes,Not Provided,11.33
60,Candidate 60,lead generator experienced in cold outreach and crm tools,Junior Sqa Engineer at Workpay (Jan 2023 to N/A)  | Mckinsey Forward Program at McKinsey Academy (N/A to N/A)  | Certified Public Accountant at Kenya Accountants and Secretaries National (N/A to N/A)  | Software Quality Assurance Intern at Workpay (N/A to N/A)  | Software Quality Assurance Intern at Portnov Computer School (N/A to N/A),Not Provided,Bachelor Accounting at Catholic University of Eastern Africa (N/A to Dec 2013),17.43
61,Candidate 61,lead generator experienced in cold outreach and crm tools,Quality Assurance Analyst at  (Nov 2023 to N/A)  | Quality Assurance Automation Engineer at Acrelec (May 2022 to Oct 2023)  | Quality Assurance Engineer at Avaya (Aug 2021 to Mar 2022)  | Quality Assurance Analyst at Vetta SMS Group (Nov 2020 to Aug 2021)  | Quality Assurance Analyst at TOTVS (Mar 2020 to Nov 2020)  | Test Automation Engineer at Unisys (Apr 2019 to Feb 2020)  | Test Engineer at Ericsson (Jan 2018 to Feb 2019)  | Tester at Appen (Jul 2017 to Jan 2018)  | Tester at Lionbridge (Feb 2015 to Jun 2017)  | Test Analyst at Squadra Tecnologia (Sep 2012 to Jan 2015)  | Test Analyst at IBM (Jan 2008 to Aug 2012)  | Trainee Php Developer at 2XT Tecnologia (May 2007 to Dec 2007),Not Provided,Software Engineering at University Center of Belo Horizonte (N/A to N/A)  | Master of Business Administration International Business Administration at University Center of Belo Horizonte (N/A to N/A),30.0
62,Candidate 62,lead generator experienced in cold outreach and crm tools,Luxury Cosmetics Brand at KamaAyurveda (Feb 2021 to Jun 2023),Not Provided,Bachelor of Science Computer Application at Aligarh Muslim University (N/A to Dec 2013),3.0
63,Candidate 63,lead generator experienced in cold outreach and crm tools,Marketing Coordinator at Maria Soto Mortgage. Real Estate (Mar 2024 to N/A)  | Marketing Analyst at SEOS Energy. Residential Solar Energy Fintech (Oct 2022 to N/A)  | Sales Representative at Sunrun (Sep 2019 to Jun 2022),Sales|Communication|Customer Relationship Management (CRM),Bachelor'S Environmental Sciences at Polytechnic University of Valencia (N/A to Dec 2019)  | Bachelor'S Environmental Engineering at Sergio Arboleda University (N/A to Dec 2022),15.01
64,Candidate 64,lead generator experienced in cold outreach and crm tools,Operador De Servicio at PEDIDOS YA (May 2024 to Jun 2024)  | Analista Qa at QANOVA (Jul 2022 to Feb 2024)  | Especialista De Productos Ti at FEBRE 2021 BANCO ESTADO (Jan 2020 to N/A)  | Especialista De Productos Ti at BANCO ITAU (Jan 2018 to Dec 2019)  | Venezuela Especialista De Qa at BANCO BANESCO (Jan 2017 to Dec 2018)  | Analista Funcional at UNISEGUROS (Jan 2015 to Jul 2016)  | Venezuela Analista Calidad at VIVIR SEGUROS (Jan 2011 to May 2015)  | Venezuela Consultor at BANCARIBE (Jan 2011 to Sep 2011)  | Venezuela Consultor De Procesos at SEGUROS CONSTITUCION (Jan 2009 to May 2011)  | Venezuela Consultor De Procesos at SEGUROS LA PREVISORA (Jan 2006 to Jun 2009)  | Mensajero Externo at GRUPO ZOOM (Jan 2005 to Dec 2006)  | Venezuela Operador De Call Center at ATENTO (Jan 2005 to Dec 2006),Quality Assurance|Organization Skills,"Licenciado Administración at Experimental Simón Rodríguez ""UNESR (N/A to N/A)",30.0
65,Candidate 65,lead generator experienced in cold outreach and crm tools,Weelo at BEE AGENCY JSC (Apr 2020 to May 2020)  | Software Engineer at TITLE (N/A to N/A),Not Provided,Not Provided,5.4
66,Candidate 66,lead generator experienced in cold outreach and crm tools,Senior Software Engineer at Qapitol QA (Mar 2020 to N/A)  | Office Ride at Ford Motor (Mar 2020 to Nov 2020),Not Provided,Bachelor of Engineering Electronics Engineering at Kalyani Government Engineering College (Mar 2006 to Apr 2010),6.3
67,Candidate 67,lead generator experienced in cold outreach and crm tools,Senior Consultant at PROTIVITI (Feb 2024 to N/A)  | Test Engineer at PROTIVITI- EMKAN Finance (Sep 2021 to Jan 2022)  | Senior Software Engineer at PANDOCORP - HACH CHEMICALS (Apr 2021 to Aug 2021)  | Senior Software Engineer at PANDOCORP - Pando Application (Aug 2020 to Mar 2021)  | Associate Analyst at WIPRO- Your Benefit Resource (Oct 2018 to Jul 2020),Not Provided,Not Provided,18.3
68,Candidate 68,lead generator experienced in cold outreach and crm tools,Senior Ux and Ui Designer at Slide UX (Dec 2023 to N/A)  | Senior Ux and Product Designer at Nerdery (Apr 2019 to Nov 2021),Not Provided,Bachelor of Fine Arts Communication Design at Texas State University (Jun 2010 to Dec 2014),10.79
69,Candidate 69,lead generator experienced in cold outreach and crm tools,Not Provided,Not Provided,Not Provided,0.6
70,Candidate 70,lead generator experienced in cold outreach and crm tools,Ejecutiva Comercial at Scotiabank Colpatria (Jan 2018 to Dec 2020),Microsoft Excel|Sales|Communication|Customer Relationship Management (CRM),Not Provided,10.18
71,Candidate 71,lead generator experienced in cold outreach and crm tools,Vice-Presidente at Fundación F.I.J.A.T.E (Jan 2015 to Dec 2017)  | Partner Development Specialist at ESCALA Saas (N/A to N/A)  | Consejero Vocacional at Pre Univeristario Social UCN (N/A to N/A),Microsoft Excel|Financial Services|Social Media|Customer Relationship Management (CRM)|Lead Qualification|Business-to-Business (B2B),Curso Social at Andrés Bello National University (Jan 2020 to Dec 2022)  | Uvm Growth Specialist at ESCALA Saas (Jan 2015 to Dec 2017)  |  Social at AIEP Modalidad Online (N/A to N/A)  | Diploma Gestión De Talento Humano at Polytechnic University of Catalonia (N/A to Dec 2022),9.0
72,Candidate 72,lead generator experienced in cold outreach and crm tools,Quality Assurance Analyst at Bank of America (Mar 2023 to Oct 2023)  | Quality Assurance Analyst at SEI Investments (Jun 2021 to Dec 2022)  | Quality Assurance Analyst at Bloomberg (Jan 2006 to Apr 2017)  | Quality Assurance Analyst at SEI Investments (Dec 2004 to Jan 2006)  | Quality Assurance Analyst at GMAC Insurance (Aug 2003 to Nov 2004)  | Quality Assurance Analyst at GTECH (Jan 2003 to Jul 2003)  | Quality Assurance Analyst at Lucent Technologies (Jul 2001 to Dec 2002)  | Financial Reporting Quality Assurance Analyst at  (Feb 2001 to Jun 2001)  | Quality Assurance Analyst at Mergers and Acquisitions (Jan 1999 to Aug 1999)  | Quality Assurance Analyst at Process and Systems Integration (Jul 1998 to Jul 1999)  | Quality Assurance Analyst at The Prudential Life Insurance (Feb 1996 to Jun 1998)  | Field Training Consultant at  (Feb 1995 to Jan 1996)  | Customer Service Manager at Dynepco (Dec 1992 to Jan 1995)  | Technical Sales Representative at Union Carbide (Jan 1990 to Nov 1992)  | Captive Sales Agent at The Metropolitan Life Insurance (Jan 1987 to Dec 1989),Not Provided,"at University, Morgantown (Jan 1984 to Dec 1985)  | Bachelor of Arts Political Science at Ohio State University (N/A to Dec 1983)  | Certificate Computer Programming at IBM Object Technology University (N/A to Dec 1995)  | Certificate Information Technology, Leadership and Development at The Chubb Institute (N/A to Dec 1997)  | Sap Lucent In at Mercury Interactive - Indus Consulting Group (N/A to Dec 1997)",31.02
73,Candidate 73,lead generator experienced in cold outreach and crm tools,Ingeniero Qa at EVERTEC (Apr 2023 to N/A)  | Ingeniero Qa at EMPRESAS GASCO (Jul 2021 to Mar 2023)  | Ingeniero Qa at INNOVASOFT (Jun 2019 to Jul 2021),Not Provided,Ingeniería Informática Y at Tecnológica de Chile INACAP (Jan 2015 to Dec 2018),8.7
74,Candidate 74,lead generator experienced in cold outreach and crm tools,Ucla- Universidad Centro Occidental at XEPELIN (Jul 2022 to Jun 2024)  | Software Engineer at Equifax by 23People (Oct 2018 to Feb 2019)  | Quality Assurance at ANDAIN (Mar 2018 to Sep 2018)  | Software Engineer at 23People (Jan 2018 to Feb 2022)  | Software Engineer at Arkiteck (Oct 2017 to Feb 2018)  | Analista De Sistemas at Ingeniería en informatica (Jan 2014 to Dec 2016),Quality Assurance|Microsoft Azure,Istqb Modern Languages at Kanba Systems Desing (N/A to N/A),19.8
75,Candidate 75,lead generator experienced in cold outreach and crm tools,Sales Manager at Proxy Medical (Oct 2002 to N/A)  | Financial Advisor at Alternativas de Inversión (Mar 2002 to Aug 2002)  | Financial Advisor at American Express Financial Advisors (Aug 2001 to Feb 2002),Microsoft Excel|Sales|English|Market Research|Sales Processes,High School Business Administration at University of Reading (May 1999 to Aug 1999)  |   at Gimnasio Campestre (N/A to Dec 1992)  |   at University of St. Thomas (Minnesota) (N/A to May 2000)  |  International Studies at University of St. Thomas (Minnesota) (N/A to May 2000)  | Master Business at University of St. Thomas (Minnesota) (N/A to May 2001),10.2
76,Candidate 76,lead generator experienced in cold outreach and crm tools,Not Provided,Problem Solving|JavaScript|QA Automation|React.js,Not Provided,0.6
77,Candidate 77,lead generator experienced in cold outreach and crm tools,Senior Software Engineer at JPMorgan Chase & Co. (Sep 2023 to N/A)  | Senior Software Engineer at will bank (Jul 2022 to Sep 2023)  | Senior Software Engineer at Zé Delivery (Sep 2021 to Jul 2022)  | Software Engineer at Objective (Oct 2020 to Sep 2021)  | Back End Engineer at Hilab (May 2020 to Oct 2020)  | Back End Engineer at OmniChat (Jun 2019 to May 2020)  | Full Stack Developer at SWA Sistemas (Jun 2018 to Jul 2019)  | Java Software Developer at CNPq (Dec 2016 to Jul 2019)  | Full Stack Developer at Digitaldoc (Sep 2016 to Dec 2017)  | Rails Developer at See Marketing e Design (Sep 2015 to Sep 2016)  | Software Developer at Parque Tecnológico Itaipu - Brasil (Sep 2014 to Sep 2015)  | C# Developer at Parque Tecnológico Itaipu - Brasil (Jan 2013 to Sep 2014),Not Provided,Bachelor Computer Science at Federal University of Technology – Paraná (Jan 2016 to Jan 2019),30.0
78,Candidate 78,lead generator experienced in cold outreach and crm tools,Senior Back End Developer at ília (Mar 2024 to N/A)  | Development Lead at Shaw and Partners (Dec 2022 to Feb 2024)  | Developer at Shaw and Partners (Jul 2022 to Feb 2024)  | Developer at One Plus Group / Digital INT / Digital DEV (Feb 2021 to Aug 2022)  | Software Engineer Trainee at One Plus Group / Digital INT / Digital DEV (Sep 2020 to Feb 2021),Not Provided,Associate'S Degree System Analysis and Development at Pontifical Catholic University of Goiás (Jan 2021 to Dec 2024),33.69
79,Candidate 79,lead generator experienced in cold outreach and crm tools,Desempleado at Dirplan (Aug 2017 to N/A),JavaScript|React.js,Ingeniería Informática at INACAP (Jan 2017 to Jan 2018)  |  Analista Programador at inacap (Jan 2015 to Jan 2017)  |  Traducción E Interpretación at Temuco Catholic University (Jan 2006 to Jan 2010),2.1
80,Candidate 80,lead generator experienced in cold outreach and crm tools,Test Specialist at Data Recognition (Apr 2024 to N/A)  | Software Quality Assurance Analyst at SmartLogic (Nov 2023 to Mar 2024)  | Sales Development Representative at Limble CMMS (Sep 2022 to Mar 2023)  | Management at Bozzuto Group / GMH Communities (Oct 2016 to Mar 2019),Not Provided,"Bachelor of Science Community Health at University of Maryland, College Park (N/A to N/A)",13.8
81,Candidate 81,lead generator experienced in cold outreach and crm tools,Quality Analyst at THOUGHTWORKS (Jan 2022 to Dec 2023),Not Provided,Abogado at Diego Portales University (N/A to Dec 2016),2.7
82,Candidate 82,lead generator experienced in cold outreach and crm tools,Tester at Global Business IT (N/A to N/A),Not Provided,Not Provided,2.4
83,Candidate 83,lead generator experienced in cold outreach and crm tools,Digital Marketing Leader at Lean Solutions Group (Jan 2022 to Jul 2022),English|Communication,Not Provided,3.6
84,Candidate 84,lead generator experienced in cold outreach and crm tools,Salesforce Quality Assurance Agile at Latam (Jan 2022 to May 2022)  | Salesforce Quality Assurance Agile - Client at Abbot (Feb 2021 to Apr 2022)  | Salesforce Quality Assurance Agile at BCI Bank (Feb 2021 to Mar 2022)  | Salesforce Quality Assurance Agile at GDM Arg (Jan 2021 to Feb 2022)  | Quality Assurance Analyst at Tata Consultancy Services (Jul 2020 to May 2021)  | Quality Assurance Analyst at Tata Consultancy Services (Jun 2019 to Jun 2020)  | Quality Assurance Analyst at Tata Consultancy Services (Oct 2018 to May 2019)  | Quality Assurance Analyst at Tata Consultancy Services (Feb 2018 to Oct 2018)  | Quality Assurance Analyst at Tata Consultancy Services (Sep 2017 to Jan 2018)  | Quality Assurance Analyst at Tata Consultancy Services (Jun 2016 to Sep 2017)  | Quality Assurance Analyst at Tata Consultancy Services (Feb 2013 to May 2015)  | Quality Assurance Analyst at Bice Bank (Mar 2012 to Nov 2013)  | Quality Assurance Analyst at Tuxpan ENGINEERING (Mar 2011 to Nov 2011)  | Quality Assurance Analyst at Xinergia Laboral (Jan 2011 to Feb 2011)  | Testing Analyst at IT PEOPLE- IBM-Banco BCI (Aug 2010 to Dec 2011)  | Salesforce Quality Assurance Agile at Sancor Salud (N/A to N/A),Not Provided,Computer Science at Andrés Bello National University (Mar 2007 to Mar 2011),30.0
85,Candidate 85,lead generator experienced in cold outreach and crm tools,Senior Quality Assurance Engineer at Interactive Brokers (Aug 2016 to Aug 2021),Not Provided,Master of Business Administration International Business at University of Massachusetts Lowell (N/A to N/A)  | Bachelor Business and Economics at Bangor University (N/A to N/A),3.6
86,Candidate 86,lead generator experienced in cold outreach and crm tools,Qc Analyst at Moveapps (Aug 2022 to N/A)  | Qc Analyst at Moveapps (UNO AFP-APP) (Aug 2022 to N/A)  | Qc Analyst at GLOBANT (Aug 2021 to Dec 2022)  | Qc Analyst at GLOBANT (Feb 2021 to Aug 2021)  | Tester at UNITY SOLUTIONS (Dec 2019 to Feb 2021)  | Qc Analyst at NULTA (Oct 2017 to Dec 2019),JavaScript|Microsoft Azure,Not Provided,17.7
87,Candidate 87,lead generator experienced in cold outreach and crm tools,Land Acquisition Manager at Constructora Ayala (Feb 2016 to Sep 2020),Not Provided,Certificate Management at University of Palermo (Buenos Aires) (N/A to N/A),3.3
88,Candidate 88,lead generator experienced in cold outreach and crm tools,Not Provided,Not Provided,Not Provided,0.6
89,Candidate 89,lead generator experienced in cold outreach and crm tools,Game Developer at Creamos (N/A to N/A)  | Team Lead at Grupo Chance S.A (N/A to N/A)  | Software Developer at Instituto Tecnológico de Enseñanza Superior (N/A to N/A),Communication|C#|Unity,Qa Manager at National Technological University (N/A to N/A)  |  Desarrollo De Software at Instituto Tecnológico de Enseñanza Superior (N/A to N/A),10.29
90,Candidate 90,lead generator experienced in cold outreach and crm tools,Business Development Representative at PALM Era Marketing (Oct 2023 to Jul 2024)  | Business Development Representative at Quadient (Oct 2023 to Jul 2024)  | Business Development Representative at BDR Outbound (Jun 2023 to Oct 2023)  | Sales Development Representative at Comunidad Feliz Servicios de TI (Feb 2020 to Jun 2023)  | Ejecutivo De Negocios at Mercantil Banco Universal (Nov 2018 to Feb 2020)  | Asesor Comercial at Distribuciones 7 Hermanos C.A (Feb 2016 to Nov 2018)  | Analista De Negocios - Analista De Credito at C.A (Feb 2016 to Nov 2018),Sales|Customer Relationship Management (CRM)|Business-to-Business (B2B),Not Provided,27.3
91,Candidate 91,lead generator experienced in cold outreach and crm tools,Administrative Assistant at Gaspy Home Health Care (Oct 2022 to Oct 2023)  | Business Development Representative at Abroad Solutions (Jun 2022 to Sep 2022)  | Analyst at Pandanus Consulting Group (Nov 2021 to Aug 2022)  | Coach at Sitel (Apr 2021 to Oct 2021)  | Quality Analyst at Sitel (Sep 2020 to Apr 2021),Not Provided,"Bogotá, D. C  at El Bosque University (Jan 2015 to Dec 2020)  | Bachelor'S  at Colegio Eucarístico Villa Guadalupe (N/A to Dec 2014)  | Bachelor Environmental Management at Polytechnic University of Catalonia (N/A to Dec 2015)  | Certificate Sales at HubSpot Academy (N/A to Oct 2019)",16.2
92,Candidate 92,lead generator experienced in cold outreach and crm tools,Quality Assurance Analyst at Tata Consultancy Services Canada (Oct 2022 to Apr 2024)  | Test Automation Engineer at Dynaptual Consultancy (Sep 2021 to Oct 2022)  | Quality Assurance Analyst at Basegix Consulting (Jul 2018 to Aug 2020),Not Provided,Post-Graduation Web Design and Development at Conestoga College (N/A to N/A)  | Bachelor of Engineering Computer Engineering at Gujarat Technological University (N/A to N/A),11.1
93,Candidate 93,lead generator experienced in cold outreach and crm tools,Test Case Creation at IBM (Jan 2023 to N/A),JavaScript|Attention to Detail|Organization Skills,High School  at University of Buenos Aires (N/A to Dec 2018),2.7
94,Candidate 94,lead generator experienced in cold outreach and crm tools,Quality Assurance Tester Analyst at Torei Consulting (Jul 2022 to Mar 2024)  | Qatester Analyst at PCMAIL C.A (Apr 2021 to Mar 2022)  | Industrial Engineer at Yacambú University (Jan 2018 to Dec 2021),Organization Skills,Not Provided,10.2
95,Candidate 95,lead generator experienced in cold outreach and crm tools,Advanced Ai Data Trainer at Invisible Technologies (Sep 2023 to N/A)  | Agile Web Developer Program at  (Jan 2023 to Dec 2023)  | Freelance Quality Assurance Tester at Tester Work (Dec 2021 to Feb 2023)  | Freelance Software Tester at Utest (May 2021 to Aug 2023),Not Provided,Master of Science Agriculture at Cape Peninsula University of Technology (Jan 2023 to N/A)  | Bachelor Agriculture at University of Venda (Jan 2018 to Jun 2022),13.8
96,Candidate 96,lead generator experienced in cold outreach and crm tools,Sales Development Specialist at Solvo (Sep 2023 to Apr 2024)  | Agent at Lean Solutions Group (Jul 2022 to Jan 2023)  | Senior Agent at SYKES (Feb 2020 to Jul 2022)  | Co-Owner at GGG&P Special Transport (Jun 2011 to Sep 2019),Sales|English,Elementary School International Affairs at U.E. Enrique María Dubuc (Jan 2013 to Dec 2015)  |   at Universidad Santa María (Caracas) (Jan 2011 to Dec 2011)  |   at Universidad Santa María (Caracas) (Jan 2009 to Dec 2011)  |   at San Antonio de Los (Jan 2008 to Dec 2008)  |   at San Antonio de Los (Jan 2005 to Dec 2009)  | High School  at U.E. Colegio Valle Alto (Jan 1999 to Dec 2004),12.6
97,Candidate 97,lead generator experienced in cold outreach and crm tools,Developer at Vortigo (May 2021 to N/A)  | Specialist Apple and Developer at Venture Labs (Aug 2015 to May 2021)  | Developer at Expensemobi (Aug 2014 to Aug 2015)  | Desenvolvedor Full Stack at  (Mar 2010 to Aug 2014),Not Provided,Not Provided,13.48
98,Candidate 98,lead generator experienced in cold outreach and crm tools,Lead Generation Manager at Pixoft l Kyiv (Nov 2023 to N/A)  | Customer Lead Generation Manager at Ivy Tech l Kharkiv (Jun 2023 to Nov 2023)  | Sales Manager at FH Solutions l Kharkiv (Jan 2022 to Jun 2023)  | Information Technology Sales Assistant at FEVERNOVA MOBILE l Kharkiv (Feb 2019 to Feb 2022)  | Researcher at SLOBODA STUDIO l Kharkiv (Feb 2018 to Nov 2018),English|Lead Generation,Bachelor  at Kharkiv Polytechnic Institute (N/A to Dec 2016),21.63
